1387E,8002,A CORUNA AEROPUERTO,A CORUNA,431825N,082219W,98,1971-12-01,2022-02-02,
1387,8001,A CORUNA,A CORUNA,432157N,082517W,58,1930-10-01,2022-02-02,
1393,8006,CABO VILAN,A CORUNA,430938N,091239W,50,1994-01-01,2022-02-02,
1351,8004,ESTACA DE BARES,A CORUNA,434710N,074105W,80,1961-01-01,2022-02-02,
1400,8040,FISTERRA,A CORUNA,425529N,091729W,230,1951-01-01,2022-02-02,
1437O,8043,MONTE IROITE,A CORUNA,424314N,085524W,685,1983-04-01,2017-10-02,
1473A,8039,PADRON,A CORUNA,424418N,083738W,100,1994-01-01,2022-02-02,
1428,8042,SANTIAGO DE COMPOSTELA AEROPUERTO,A CORUNA,425317N,082438W,370,1943-11-01,2022-02-02,
1475X,8041,SANTIAGO DE COMPOSTELA,A CORUNA,425234N,083321W,240,1994-01-01,2022-02-02,
8175,8280,ALBACETE BASE AEREA, AEROPUERTO,385715N,015123W,702,1939-12-01,2022-02-02,
8178D,8279,ALBACETE,ALBACETE,390020N,015144W,676,1983-01-01,2022-02-02,
8177A,8278,CHINCHILLA,ALBACETE,385609N,013936W,880,2006-01-01,2022-02-02,
7096B,8355,HELLON,ALBACETE,383231N,014211W,646,1987-08-01,2022-02-02,
8025,8359,ALICANTE/ALACANT,ALICANTE,382221N,002939W,81,1938-09-01,2022-02-02,
8019,8360,ALICANTE-ELCHE AEROPUERTO,ALICANTE,381658N,003415W,43,1967-01-01,2022-02-02,
8050X,8370,JAVEA/ XABIA,ALICANTE,384701N,001004E,15,1997-03-14,2022-02-02,
7247X,8357,PINOSO ,ALICANTE,382359N,010217W,575,2004-01-14,2022-02-02,
6302A,8427,ABLA,ALMERIA,370829N,024648W,869,2001-01-01,2022-02-02,
6277B,8486,ADRA,ALMERIA,364450N,030114W,8,1986-04-19,2022-02-02,
6381,8490,ALBORAN,ALMERIA,355618N,030210W,15,1973-01-02,2016-06-11,
6325O,8487,ALMERIA AEROPUERTO,ALMERIA,365047N,022125W,21,1968-01-01,2022-02-02,
6297,,ALMERIA,ALMERIA,364952N,022720W,7,1934-01-01,1981-04-09,
6332X,8488,CARBONERAS,ALMERIA,365849N,015413W,16,2001-01-01,2021-07-27,
6367B,8428,HUERCAL-OVERA,ALMERIA,372326N,015637W,300,1988-04-07,2022-02-02,
6293X,8492,ROQUETAS DE MAR,ALMERIA,364113N,024206W,3,2009-07-19,2022-02-02,
9091O,8080,FORONDA-TXOKIZA,ARABA/ALAVA,425255N,024406W,513,1976-01-01,2022-02-02,
9087,,VITORIA AERODROMO,ARABA/ALAVA,425059N,023922W,521,1943-03-01,1982-11-30,
9091R,8080,VITORIA GASTEIZ AEROPUERTO,ARABA/ALAVA,425219N,024358W,513,2011-09-30,2022-02-02,
1212E,8011,ASTURIAS AEROPUERTO,ASTURIAS,433401N,060239W,127,1968-08-01,2022-02-02,
1283U,8010,CABO BUSTO,ASTURIAS,433409N,062812W,60,1997-04-01,2022-02-02,
1210X,8012,CABO PENAS,ASTURIAS,433921N,055055W,100,1997-06-01,2022-02-02,
1331A,8009,CASTROPOL,ASTURIAS,433129N,070153W,40,2014-11-20,2022-02-02,
1207U,8014,GIJON, CAMPUS,ASTURIAS,433123N,053716W,26,1979-01-01,2022-02-02
1208A,,GIJON. LA MERCED,ASTURIAS,433230N,053943W,22,1938-10-01,1976-05-31,
1208H,8014,GIJON, PUERTO,ASTURIAS,433336N,054203W,5,2001-03-06,2022-02-02
1208,,GIJON,ASTURIAS,433220N,053815W,3,1976-06-01,2001-03-05,
1183X,8016,LLANES,ASTURIAS,432513N,044453W,10,1997-04-02,2022-02-02,
1249I,8015,OVIEDO,ASTURIAS,432112N,055227W,336,1972-11-20,2022-02-02,
1249X,8015,OVIEDO,ASTURIAS,432112N,055227W,336,2012-03-01,2022-02-02,
1542,8052,PUERTO DE LEITARIEGOS,ASTURIAS,425939N,062451W,1530,1997-03-01,2022-02-02,
1221D,8031,PAJARES-VALGRANDE,ASTURIAS,425843N,054635W,1480,1997-03-01,2022-02-02,
2444C,,AVILA, AYUNTAMIENTO,AVILA,403924N,044201W,1143,1953-01-01,1982-03-14
2444,8210,AVILA,AVILA,403933N,044048W,1130,1983-01-01,2022-02-02,
2811A,8206,NAVARREDONDA DE GREDOS,AVILA,402102N,050835W,1525,2003-06-01,2020-03-03,
3391,8208,SOTILLO DE LA ADRADA,AVILA,401719N,043527W,630,1954-03-01,2022-02-02,
4452,8330,BADAJOZ AEROPUERTO,BADAJOZ,385300N,064850W,185,1955-01-01,2022-02-02,
4358X,8333,DON BENITO,BADAJOZ,385720N,055250W,273,1989-03-01,2022-02-02,
4244X,8264,HERRERA DEL DUQUE,BADAJOZ,391010N,050344W,447,2001-01-24,2022-02-02,
4511C,8337,JEREZ DE LOS CABALLEROS,BADAJOZ,381755N,064554W,381,2007-07-09,2022-02-02,
4386B,8336,LLERENA,BADAJOZ,381354N,060101W,655,2007-06-01,2022-02-02,
4410X,8331,MERIDA,BADAJOZ,385457N,062308W,228,1989-06-04,2022-02-02,
0252D,8186,ARENYS DE MAR,BARCELONA,413515N,023224E,74,1981-01-01,2022-02-02,
76,8181,BARCELONA AEROPUERTO,BARCELONA,411734N,020412E,4,1924-03-01,2022-02-02,
0200E,,BARCELONA, FABRA,BARCELONA,412506N,020727E,408,1920-01-01,2022-01-31
0201D,8180,BARCELONA,BARCELONA,412326N,021200E,6,1994-04-20,2022-02-02,
0149X,8174,MANRESA,BARCELONA,414312N,015025E,291,2005-01-14,2022-02-02,
0229I,8192,SABADELL AEROPUERTO,BARCELONA,413125N,020611E,146,1973-12-01,2016-04-20,
0255B,8188,SANTA SUSANNA,BARCELONA,413903N,024149E,40,2009-08-25,2022-01-11,
1082,8025,BILBAO AEROPUERTO,BIZKAIA,431753N,025423W,42,1947-03-01,2022-02-02,
1078I,8035,GUENES,BIZKAIA,431212N,030617W,208,1997-04-01,2022-02-02,
1055B,8024,LEKEITIO,BIZKAIA,432237N,023037W,12,1997-04-01,2020-03-29,
1057B,,MACHICHACO,BIZKAIA,432714N,024510W,93,1997-04-01,2022-02-02,
1059X,8059,PUNTA GALEA,BIZKAIA,432230N,030118W,90,2005-02-09,2022-02-02,
2117D,8144,ARANDA DE DUERO,BURGOS,413957N,034434W,790,2002-04-16,2022-02-02,
9111,8077,BELORADO,BURGOS,422516N,031013W,820,1989-04-18,2022-02-02,
2331,8075,BURGOS AEROPUERTO,BURGOS,422125N,033713W,891,1943-08-01,2022-02-02,
